	Narracja
1	Na skraju dunlandzkiego urwiska dwaj Uruk-hai Białej Ręki zastygają w napięciu, wypatrując znaku od swoich skrzydlatych zwiadowców. W wąwozie pod nimi formuje się cicha armia Sarumana, a kolejne pochodnie rozpalają się w miarę, jak oddziały odnajdują swoje miejsca. Nad sceną krąży stado crebainów — tych samych kruków, które z rozkazu Isengardu przeczesują ziemie na zachód od Gór Mglistych. Jeden z nich pikuje w dół, a jego krzyk zdaje się ostatnim sygnałem, na który czeka każde ostrze w mroku.
2	Przez wąski, zalany wodą kanion merfolka z Coralhelm prowadzi potężnego Balotha tajnym przejściem wśród lewitujących skał Zendikaru. Jej hełm, wykuty z bladego koralu i muszli, zdradza pochodzenie z nadmorskiego klanu, który od pokoleń mapuje każdą szczelinę wybrzeża. Na klifach powyżej patrole Eldrazi stoją odwrócone plecami, nieświadome, że sojusznicy wymykają im się tuż pod ich stopami. Bestia z trudem toruje sobie drogę przez skalną szczelinę, a fontanny wody wzbijane jej cielskiem są jedynym dźwiękiem, który mógłby ich zdradzić.
3	W mrocznym gabinecie strategicznym, gdzieś na Wybrzeżu Mieczy, nad dębowym stołem unosi się szkarłatny chochlik, a jego złośliwy uśmiech odsłania skutki właśnie dokonanego dzieła. Pod nim dopala się misterna mapa taktyczna, a miniaturowe figurki żołnierzy leżą poprzewracane i stopione. W szponie bestia ściska skradziony kryształ, który pulsuje słabym światłem i zasila to, co dzieje się nad mapą. Tam, z kłębów czarnego dymu, formuje się widmowy obraz potężnego artefaktu — wizja, po którą chochlik przybył i dla której spalił cudze plany.
4	Na środku mglistego jeziora w głębi Eldraine wyrasta zrujnowana kamienna wieża ze świecącym błękitnym kryształem, a wokół niej tańczą na powierzchni wody drobne ogniki. Na kamieniu przy brzegu otwarta księga zaklęć wypuszcza ze swoich stron cienkie nici światła, które niczym żyłki pamięci ciągną się ku sanktuarium. W oddali, we mgle, zarysowują się kolejne wyspy łańcucha — rodzeństwo tej, na której stoi wieża. Woda wokół niej pulsuje koncentrycznymi falami, jakby samo istnienie sanktuarium poruszało tę śpiącą krainę arturiańskich mitów.
5	Na tarasie dominariańskiej akademii stoi młoda wędrowna czarodziejka, jedną dłoń uniesioną ku wirującemu portalowi błękitnej energii, który rozsuwa się przed nią jak tunel. Po drugiej stronie tego wiru mały intruz rozpływa się w rozmytą smugę, wyrzucany poza mury akademii tak spokojnie, jakby to był normalny element porannej pracy. Na kamiennej posadzce wiatr rozwiewa jej notatki, a drobne błękitne glify świadczą o niedawnej aktywacji zaklęcia. Na schodach w głębi dwaj inni adepci obserwują bez zdziwienia — w kolegiach magów Dominarii sztuka odsyłania jest codziennym egzaminem.
6	Na marmurowych schodach gmachu sądu Azoriusów stoi surowy sędzia-mag w ceremonialnej biało-srebrnej szacie, berło z cylindryczną pieczęcią wysunięte przed sobą. Z jego wyciągniętych dłoni emanują biało-błękitne runy prawne, które oplatają dwoje klęczących u stóp schodów więźniów niczym magiczne kajdany. Za nim wznoszą się kolumny pokryte wyrytymi paragrafami, a chłodne światło wpadające przez wąskie okna rzuca ostre cienie. W dystryktach gildii Azorius wyrok zapada w chwili, w której glif dotknie oskarżonego — a rozprawa jest tylko formalnością, której nikt już nie pamięta.
7	Na skalistym wybrzeżu Dominarii w epoce pęknięć czasu, tuż nad wodą, otwiera się pionowe rozdarcie rzeczywistości wirujące błękitnymi smugami. Nad nim wisi kula skondensowanej energii otoczona czterema symbolami klepsydry — trzy świecą jasno, czwarty już przygasa. Z otwartej księgi na skale ku rozdarciu wciągane są trzy luźne pergaminy, pozostawiające za sobą jasne smugi — wyrwane myśli znikające w innym momencie czasu. W tle zarys tolariańskiej wieży świadczy, że czas na tym wybrzeżu już dawno przestał być jednokierunkowy.
8	Przez wulkaniczne zbocza jundyjskiego fragmentu Alary pędzi w szarży trójka goblinów — pierwszy okrakiem na opancerzonym jaszczurze bojowym, drugi z poszarpanym sztandarem czaszki, trzeci skaczący z kamiennego nawisu z zardzewiałym toporem w dłoni. Ich skóra ma odcień brudnej zieleni z czerwonymi wyparzeniami od żaru, a oczy płoną ekstatycznym szałem. Wokół meandrują rzeki płynnej lawy, a w tle krąży wysoko odwieczny smok — cień, którego widok nie spowolni tej szarży nawet o krok. W Jundzie drobne drapieżniki albo pędzą do przodu, albo stają się pokarmem, a te trzy wybrały pierwszą opcję.
9	Na zniszczonej ulicy Ravnicy podczas inwazji Nicola Bolasa klęczy zwykły cywil, dłonie przyciśnięte do skroni, a nad jego głową unoszą się widmowe projekcje wyrwanych wspomnień. Jedną z tych półprzezroczystych myśli zabiera mglista dłoń wyłaniająca się z cienia — wybiera najcenniejszą. Za jego plecami, dopiero co powołany do istnienia tym aktem, stoi nieruchomo lazotepowy Wieczny w ceremonialnej zbroi, z pustymi oczami świecącymi niebieskim blaskiem. Na niebie majaczy cytadela Bolasa, a cena tej wojny mierzy się nie bitwami, lecz skradzionymi myślami zwykłych mieszkańców.
10	Na czele kolumny klanu Dromoka maszeruje młody ludzki żołnierz, wznoszący dumnie nad głową zielono-biały proporzec klanu. Jego lekka skórzano-płytkowa zbroja z łuskami przypominającymi smocze łuski Dromoki pulsuje subtelnymi szmaragdowymi runami — zgromadzoną witalnością gotową do przekazania. Za nim równym krokiem podąża kolumna wojowników, każdy z proporcem klanu, tworząc jedną falę oddanych sprawie. Na horyzoncie ciepłych równin Tarkiru krąży sama Dromoka — patronka przysięgi Abzan, smocza władczyni, której cień jest ich tarczą.
11	U wrót Podziemnego Świata Erebosa, na progu z ciemnego kamienia, trójgłowy cerber poddaje się jedna głowa po drugiej działaniu sennego zaklęcia. Lewa głowa już śpi w błogostanie, środkowa właśnie ziewa ciężko, prawa walczy z zamykającymi się powiekami i warczy bez przekonania. Wokół bestii snuje się bladoniebieska eteryczna mgła, a na kamieniu leżą obole porzucone przez duchy, które tędy się prześlizgnęły. Za progiem pulsuje srebrzysto-fioletowa poświata Tartyksu — strażnik, który nigdy nie zasypia, dziś przepuścił tych, za których nikt nie zapłacił Erebosowi.
12	Na ruchliwym nabrzeżu dzielnicy Bomat na Kaladeshu niewielki konstrukt o mosiężnych ramionach sortuje i katalogizuje skrzynie jednocześnie czterema precyzyjnymi chwytakami. W jego torsie pulsuje błękitny rdzeń aetherowy, a turkusowy wizjer wpatruje się w zawartość otwartego kontenera z uwagą zawodowego katalogisty. Wokół niego krzątają się kupcy w ozdobnych szatach, aetherowe dźwigi unoszą ładunki na wyższe poziomy doków, a w tle iskrzą pozłacane kopuły portowego miasta. Ten skromny automat jest niewidzialnym ogniwem handlowego łańcucha, który napędza każde bogactwo Konsulatu.
